Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
THOMAS APARTMENTS - Entire Development,102 WEST 91ST STREET,"MANHATTAN, NY 10024",Hot Water,Unplanned,11/15/24,08:00 PM,11/16/24 05:13 PM,1,87,89
THOMAS APARTMENTS - Entire Development,102 WEST 91ST STREET,"MANHATTAN, NY 10024",Heat,Unplanned,11/15/24,08:00 PM,11/16/24 04:40 PM,1,87,89
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,12/31/24,01:08 PM,12/31/24 08:48 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Unplanned,12/31/24,01:08 PM,12/31/24 08:40 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,12/16/24,04:15 AM,12/16/24 11:36 AM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Unplanned,12/16/24,04:15 AM,12/16/24 11:15 AM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,12/11/24,07:26 PM,12/12/24 04:05 AM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,11/28/24,07:30 AM,11/28/24 02:00 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Unplanned,11/28/24,07:30 AM,11/28/24 01:43 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,11/07/24,04:59 PM,11/08/24 12:00 AM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,11/07/24,08:00 AM,11/07/24 04:14 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,11/05/24,07:01 PM,11/05/24 11:40 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/29/24,08:30 PM,10/29/24 11:12 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,10/28/24,10:00 AM,10/28/24 08:14 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,10/23/24,10:00 AM,10/23/24 05:29 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/20/24,05:02 PM,10/20/24 11:02 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,10/16/24,11:30 AM,10/16/24 07:56 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Planned,10/16/24,02:24 PM,10/16/24 05:18 PM,34,"1,185","2,311"
